Date,interactions
02/04/2022,0
02/05/2022,0
02/06/2022,0
02/07/2022,0
02/08/2022,0
02/09/2022,0
02/10/2022,0
02/11/2022,0
02/12/2022,0
02/13/2022,0
02/14/2022,0
02/15/2022,0
02/16/2022,0
02/17/2022,0
02/18/2022,0
02/19/2022,0
02/20/2022,0
02/21/2022,0
02/22/2022,0
02/23/2022,0
02/24/2022,0
02/25/2022,0
02/26/2022,0
02/27/2022,0
02/28/2022,0
03/01/2022,0
03/02/2022,0
03/03/2022,0
03/04/2022,0
03/05/2022,0
03/06/2022,0
03/07/2022,0
03/08/2022,0
03/09/2022,0
03/10/2022,0
03/11/2022,0
03/12/2022,0
03/13/2022,0
03/14/2022,0
03/15/2022,0
03/16/2022,0
03/17/2022,0
03/18/2022,0
03/19/2022,0
03/20/2022,0
03/21/2022,0
03/22/2022,0
03/23/2022,0
03/24/2022,0
03/25/2022,0
03/26/2022,0
03/27/2022,0
03/28/2022,0
03/29/2022,0
03/30/2022,0
03/31/2022,0
04/01/2022,0
04/02/2022,0
04/03/2022,0
04/04/2022,0
04/05/2022,0
04/06/2022,0
04/07/2022,0
04/08/2022,0
04/09/2022,0
04/10/2022,0
04/11/2022,0
04/12/2022,0
04/13/2022,0
04/14/2022,0
04/15/2022,0
04/16/2022,0
04/17/2022,0
04/18/2022,0
04/19/2022,0
04/20/2022,0
04/21/2022,0
04/22/2022,0
04/23/2022,0
04/24/2022,0
04/25/2022,0
04/26/2022,0
04/27/2022,0
04/28/2022,0
04/29/2022,0
04/30/2022,0
05/01/2022,0
05/02/2022,0
05/03/2022,0
05/04/2022,0
05/05/2022,0
05/06/2022,0
05/07/2022,0
05/08/2022,0
05/09/2022,0
05/10/2022,0
05/11/2022,0
05/12/2022,0
05/13/2022,0
05/14/2022,0
05/15/2022,0
05/16/2022,0
05/17/2022,0
05/18/2022,0
05/19/2022,0
05/20/2022,0
05/21/2022,0
05/22/2022,0
05/23/2022,0
05/24/2022,0
05/25/2022,0
05/26/2022,0
05/27/2022,0
05/28/2022,0
05/29/2022,0
05/30/2022,0
05/31/2022,0
06/01/2022,0
06/02/2022,0
06/03/2022,0
06/04/2022,0
06/05/2022,0
06/06/2022,0
06/07/2022,0
06/08/2022,0
06/09/2022,0
06/10/2022,0
06/11/2022,0
06/12/2022,0
06/13/2022,0
06/14/2022,0
06/15/2022,0
06/16/2022,0
06/17/2022,0
06/18/2022,0
06/19/2022,0
06/20/2022,0
06/21/2022,0
06/22/2022,0
06/23/2022,0
06/24/2022,0
06/25/2022,0
06/26/2022,0
06/27/2022,0
06/28/2022,0
06/29/2022,0
06/30/2022,0
07/01/2022,0
07/02/2022,0
07/03/2022,0
07/04/2022,0
07/05/2022,0
07/06/2022,0
07/07/2022,0
07/08/2022,0
07/09/2022,0
07/10/2022,0
07/11/2022,0
07/12/2022,0
07/13/2022,0
07/14/2022,0
07/15/2022,0
07/16/2022,0
07/17/2022,0
07/18/2022,0
07/19/2022,0
07/20/2022,0
07/21/2022,0
07/22/2022,0
07/23/2022,0
07/24/2022,0
07/25/2022,0
07/26/2022,0
07/27/2022,0
07/28/2022,0
07/29/2022,0
07/30/2022,0
07/31/2022,0
08/01/2022,0
08/02/2022,0
08/03/2022,0
08/04/2022,0
08/05/2022,0
08/06/2022,0
08/07/2022,0
08/08/2022,0
08/09/2022,0
08/10/2022,0
08/11/2022,0
08/12/2022,0
08/13/2022,0
08/14/2022,0
08/15/2022,0
08/16/2022,0
08/17/2022,0
08/18/2022,0
08/19/2022,0
08/20/2022,0
08/21/2022,0
08/22/2022,0
08/23/2022,0
08/24/2022,0
08/25/2022,0
08/26/2022,0
08/27/2022,0
08/28/2022,0
08/29/2022,0
08/30/2022,0
08/31/2022,0
09/01/2022,0
09/02/2022,0
09/03/2022,0
09/04/2022,0
09/05/2022,0
09/06/2022,0
09/07/2022,0
09/08/2022,0
09/09/2022,0
09/10/2022,0
09/11/2022,0
09/12/2022,0
09/13/2022,0
09/14/2022,0
09/15/2022,0
09/16/2022,0
09/17/2022,0
09/18/2022,0
09/19/2022,0
09/20/2022,0
09/21/2022,0
09/22/2022,0
09/23/2022,0
09/24/2022,0
09/25/2022,0
09/26/2022,0
09/27/2022,0
09/28/2022,0
09/29/2022,0
09/30/2022,0
10/01/2022,0
10/02/2022,0
10/03/2022,0
10/04/2022,0
10/05/2022,0
10/06/2022,0
10/07/2022,0
10/08/2022,0
10/09/2022,0
10/10/2022,0
10/11/2022,0
10/12/2022,0
10/13/2022,0
10/14/2022,0
10/15/2022,0
10/16/2022,0
10/17/2022,0
10/18/2022,0
10/19/2022,0
10/20/2022,0
10/21/2022,0
10/22/2022,0
10/23/2022,0
10/24/2022,0
10/25/2022,0
10/26/2022,0
10/27/2022,0
10/28/2022,0
10/29/2022,0
10/30/2022,0
10/31/2022,0
11/01/2022,0
11/02/2022,0
11/03/2022,0
11/04/2022,0
11/05/2022,0
11/06/2022,0
11/07/2022,0
11/08/2022,0
11/09/2022,0
11/10/2022,0
11/11/2022,0
11/12/2022,0
11/13/2022,0
11/14/2022,0
11/15/2022,0
11/16/2022,0
11/17/2022,0
11/18/2022,0
11/19/2022,0
11/20/2022,0
11/21/2022,0
11/22/2022,0
11/23/2022,0
11/24/2022,0
11/25/2022,0
11/26/2022,0
11/27/2022,0
11/28/2022,0
11/29/2022,0
11/30/2022,0
12/01/2022,0
12/02/2022,0
12/03/2022,0
12/04/2022,0
12/05/2022,0
12/06/2022,0
12/07/2022,0
12/08/2022,0
12/09/2022,0
12/10/2022,0
12/11/2022,0
12/12/2022,0
12/13/2022,0
12/14/2022,0
12/15/2022,0
12/16/2022,0
12/17/2022,0
12/18/2022,0
12/19/2022,0
12/20/2022,0
12/21/2022,0
12/22/2022,0
12/23/2022,0
12/24/2022,0
12/25/2022,0
12/26/2022,0
12/27/2022,0
12/28/2022,0
12/29/2022,0
12/30/2022,0
12/31/2022,0
01/01/2023,0
01/02/2023,0
01/03/2023,0
01/04/2023,0
01/05/2023,0
01/06/2023,0
01/07/2023,0
01/08/2023,0
01/09/2023,0
01/10/2023,0
01/11/2023,0
01/12/2023,0
01/13/2023,0
01/14/2023,0
01/15/2023,0
01/16/2023,0
01/17/2023,0
01/18/2023,0
01/19/2023,0
01/20/2023,0
01/21/2023,0
01/22/2023,0
01/23/2023,0
01/24/2023,0
01/25/2023,0
01/26/2023,0
01/27/2023,0
01/28/2023,0
01/29/2023,0
01/30/2023,0
01/31/2023,0
02/01/2023,0
02/02/2023,0
02/03/2023,0
02/04/2023,0
02/05/2023,0
02/06/2023,0
02/07/2023,0
02/08/2023,0
02/09/2023,0
02/10/2023,0
02/11/2023,0
02/12/2023,0
02/13/2023,0
02/14/2023,0
02/15/2023,0
02/16/2023,0
02/17/2023,0
02/18/2023,0
02/19/2023,0
02/20/2023,0
02/21/2023,0
02/22/2023,0
02/23/2023,0
02/24/2023,0
02/25/2023,0
02/26/2023,0
02/27/2023,0
02/28/2023,0
03/01/2023,0
03/02/2023,0
03/03/2023,0
03/04/2023,1
03/05/2023,9
03/06/2023,19
03/07/2023,47
03/08/2023,18
03/09/2023,14
03/10/2023,23
03/11/2023,40
03/12/2023,30
03/13/2023,78
03/14/2023,63
03/15/2023,42
03/16/2023,21
03/17/2023,21
03/18/2023,35
03/19/2023,15
03/20/2023,22
03/21/2023,17
03/22/2023,30
03/23/2023,61
03/24/2023,48
03/25/2023,6
03/26/2023,5
03/27/2023,35
03/28/2023,62
03/29/2023,74
03/30/2023,30
03/31/2023,16
04/01/2023,5
04/02/2023,0
04/03/2023,23
04/04/2023,11
04/05/2023,53
04/06/2023,30
04/07/2023,16
04/08/2023,10
04/09/2023,11
04/10/2023,14
04/11/2023,8
04/12/2023,32
04/13/2023,16
04/14/2023,25
04/15/2023,7
04/16/2023,0
04/17/2023,17
04/18/2023,0
04/19/2023,47
04/20/2023,65
04/21/2023,5
04/22/2023,1
04/23/2023,1
04/24/2023,114
04/25/2023,68
04/26/2023,85
04/27/2023,30
04/28/2023,7
04/29/2023,45
04/30/2023,0
05/01/2023,0
05/02/2023,37
05/03/2023,63
05/04/2023,103
05/05/2023,37
05/06/2023,26
05/07/2023,26
05/08/2023,46
05/09/2023,238
05/10/2023,109
05/11/2023,19
05/12/2023,7
05/13/2023,18
05/14/2023,0
05/15/2023,1
05/16/2023,132
05/17/2023,139
05/18/2023,10
05/19/2023,0
05/20/2023,1
05/21/2023,1
05/22/2023,7
05/23/2023,73
05/24/2023,26
05/25/2023,190
05/26/2023,170
05/27/2023,52
05/28/2023,117
05/29/2023,16
05/30/2023,92
05/31/2023,22
06/01/2023,28
06/02/2023,38
06/03/2023,20
06/04/2023,2
06/05/2023,46
06/06/2023,46
06/07/2023,21
06/08/2023,15
06/09/2023,57
06/10/2023,52
06/11/2023,14
06/12/2023,84
06/13/2023,13
06/14/2023,3
06/15/2023,58
06/16/2023,42
06/17/2023,2
06/18/2023,0
06/19/2023,18
06/20/2023,26
06/21/2023,86
06/22/2023,55
06/23/2023,43
06/24/2023,31
06/25/2023,16
06/26/2023,16
06/27/2023,18
06/28/2023,2
06/29/2023,2
06/30/2023,11
07/01/2023,39
07/02/2023,21
07/03/2023,352
07/04/2023,191
07/05/2023,188
07/06/2023,98
07/07/2023,103
07/08/2023,158
07/09/2023,134
07/10/2023,145
07/11/2023,80
07/12/2023,45
07/13/2023,73
07/14/2023,28
07/15/2023,27
07/16/2023,6
07/17/2023,39
07/18/2023,67
07/19/2023,58
07/20/2023,74
07/21/2023,111
07/22/2023,83
07/23/2023,52
07/24/2023,171
07/25/2023,46
07/26/2023,128
07/27/2023,106
07/28/2023,64
07/29/2023,57
07/30/2023,1
07/31/2023,43
08/01/2023,66
08/02/2023,85
08/03/2023,112
08/04/2023,93
08/05/2023,47
08/06/2023,97
08/07/2023,48
08/08/2023,67
08/09/2023,46
08/10/2023,86
08/11/2023,69
08/12/2023,50
08/13/2023,203
08/14/2023,109
08/15/2023,123
08/16/2023,86
08/17/2023,174
08/18/2023,76
08/19/2023,21
08/20/2023,20
08/21/2023,68
08/22/2023,75
08/23/2023,74
08/24/2023,103
08/25/2023,111
08/26/2023,28
08/27/2023,1
08/28/2023,43
08/29/2023,108
08/30/2023,113
08/31/2023,291
09/01/2023,323
09/02/2023,209
09/03/2023,103
09/04/2023,179
09/05/2023,35
09/06/2023,33
09/07/2023,120
09/08/2023,56
09/09/2023,60
09/10/2023,76
09/11/2023,51
09/12/2023,60
09/13/2023,118
09/14/2023,33
09/15/2023,79
09/16/2023,13
09/17/2023,23
09/18/2023,41
09/19/2023,54
09/20/2023,55
09/21/2023,46
09/22/2023,90
09/23/2023,20
09/24/2023,28
09/25/2023,54
09/26/2023,41
09/27/2023,62
09/28/2023,101
09/29/2023,73
09/30/2023,6
10/01/2023,3
10/02/2023,35
10/03/2023,56
10/04/2023,36
10/05/2023,20
10/06/2023,19
10/07/2023,18
10/08/2023,9
10/09/2023,24
10/10/2023,24
10/11/2023,17
10/12/2023,21
10/13/2023,35
10/14/2023,24
10/15/2023,0
10/16/2023,20
10/17/2023,30
10/18/2023,13
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,1
10/25/2023,0
10/26/2023,2
10/27/2023,8
10/28/2023,8
10/29/2023,0
10/30/2023,7
10/31/2023,11
11/01/2023,0
11/02/2023,22
11/03/2023,57
11/04/2023,16
11/05/2023,8
11/06/2023,6
11/07/2023,6
11/08/2023,64
11/09/2023,147
11/10/2023,47
11/11/2023,29
11/12/2023,29
11/13/2023,46
11/14/2023,154
11/15/2023,45
11/16/2023,31
11/17/2023,48
11/18/2023,6
11/19/2023,4
11/20/2023,27
11/21/2023,62
11/22/2023,23
11/23/2023,100
11/24/2023,100
11/25/2023,117
11/26/2023,123
11/27/2023,19
11/28/2023,62
11/29/2023,34
11/30/2023,19
12/01/2023,13
12/02/2023,33
12/03/2023,2
12/04/2023,2
12/05/2023,41
12/06/2023,37
12/07/2023,77
12/08/2023,10
12/09/2023,14
12/10/2023,1
12/11/2023,13
12/12/2023,115
12/13/2023,110
12/14/2023,99
12/15/2023,70
12/16/2023,16
12/17/2023,51
12/18/2023,28
12/19/2023,45
12/20/2023,88
12/21/2023,98
12/22/2023,234
12/23/2023,46
12/24/2023,0
12/25/2023,94
12/26/2023,167
12/27/2023,470
12/28/2023,680
12/29/2023,456
12/30/2023,450
12/31/2023,90
01/01/2024,49
01/02/2024,38
01/03/2024,49
01/04/2024,86
01/05/2024,58
01/06/2024,16
01/07/2024,1
01/08/2024,31
01/09/2024,63
01/10/2024,31
01/11/2024,22
01/12/2024,24
01/13/2024,10
01/14/2024,2
01/15/2024,5
01/16/2024,39
01/17/2024,50
01/18/2024,12
01/19/2024,20
01/20/2024,12
01/21/2024,1
01/22/2024,15
01/23/2024,25
01/24/2024,97
01/25/2024,35
01/26/2024,34
01/27/2024,30
01/28/2024,5
01/29/2024,41
01/30/2024,20
01/31/2024,16
02/01/2024,31
02/02/2024,24
02/03/2024,10
02/04/2024,2
02/05/2024,4
02/06/2024,2
02/07/2024,26
02/08/2024,32
02/09/2024,28
02/10/2024,6
02/11/2024,5
02/12/2024,0
02/13/2024,0
02/14/2024,38
02/15/2024,30
02/16/2024,42
02/17/2024,8
02/18/2024,10
02/19/2024,24
02/20/2024,11
02/21/2024,8
02/22/2024,1
02/23/2024,32
02/24/2024,19
02/25/2024,5
02/26/2024,39
02/27/2024,16
02/28/2024,0
02/29/2024,11
03/01/2024,7
03/02/2024,9
03/03/2024,0
03/04/2024,20
03/05/2024,6
03/06/2024,10
03/07/2024,2
03/08/2024,8
03/09/2024,3
03/10/2024,5
03/11/2024,11
03/12/2024,20
03/13/2024,11
03/14/2024,44
03/15/2024,21
03/16/2024,25
03/17/2024,16
03/18/2024,16
03/19/2024,10
03/20/2024,0
03/21/2024,1
03/22/2024,18
03/23/2024,20
03/24/2024,18
03/25/2024,84
03/26/2024,56
03/27/2024,628
03/28/2024,62
03/29/2024,12
03/30/2024,4
03/31/2024,7
04/01/2024,0
04/02/2024,1
04/03/2024,2
04/04/2024,9
04/05/2024,14
04/06/2024,6
04/07/2024,12
04/08/2024,5
04/09/2024,11
04/10/2024,9
04/11/2024,179
04/12/2024,25
04/13/2024,24
04/14/2024,9
04/15/2024,10
04/16/2024,0
04/17/2024,2
04/18/2024,13
04/19/2024,18
04/20/2024,2
04/21/2024,2
04/22/2024,1
04/23/2024,8
04/24/2024,19
04/25/2024,2
04/26/2024,9
04/27/2024,0
04/28/2024,0
04/29/2024,0
04/30/2024,0
05/01/2024,74
05/02/2024,12
05/03/2024,1
05/04/2024,11
05/05/2024,5
05/06/2024,2
05/07/2024,1
05/08/2024,1
05/09/2024,14
05/10/2024,12
05/11/2024,7
05/12/2024,8
05/13/2024,2
05/14/2024,0
05/15/2024,2
05/16/2024,0
05/17/2024,4
05/18/2024,12
05/19/2024,1
05/20/2024,50
05/21/2024,21
05/22/2024,27
05/23/2024,81
05/24/2024,32
05/25/2024,17
05/26/2024,36
05/27/2024,6
05/28/2024,53
05/29/2024,129
05/30/2024,4
05/31/2024,26
06/01/2024,4
06/02/2024,1
06/03/2024,1
06/04/2024,0
06/05/2024,43
06/06/2024,26
06/07/2024,67
06/08/2024,18
06/09/2024,1
06/10/2024,3
06/11/2024,5
06/12/2024,6
06/13/2024,3
06/14/2024,225
06/15/2024,46
06/16/2024,7
06/17/2024,7
06/18/2024,3
06/19/2024,10
06/20/2024,21
06/21/2024,25
06/22/2024,3
06/23/2024,6
06/24/2024,17
06/25/2024,16
06/26/2024,11
06/27/2024,8
06/28/2024,15
06/29/2024,15
06/30/2024,4
07/01/2024,92
07/02/2024,44
07/03/2024,52
07/04/2024,61
07/05/2024,39
07/06/2024,25
07/07/2024,11
07/08/2024,12
07/09/2024,96
07/10/2024,81
07/11/2024,54
07/12/2024,46
07/13/2024,23
07/14/2024,17
07/15/2024,7
07/16/2024,21
07/17/2024,25
07/18/2024,0
07/19/2024,9
07/20/2024,3
07/21/2024,5
07/22/2024,25
07/23/2024,73
07/24/2024,37
07/25/2024,36
07/26/2024,41
07/27/2024,8
07/28/2024,9
07/29/2024,55
07/30/2024,62
07/31/2024,71
08/01/2024,85
08/02/2024,72
08/03/2024,171
08/04/2024,155
08/05/2024,114
08/06/2024,79
08/07/2024,72
08/08/2024,142
08/09/2024,43
08/10/2024,52
08/11/2024,111
08/12/2024,85
08/13/2024,44
08/14/2024,159
08/15/2024,13
08/16/2024,1
08/17/2024,53
08/18/2024,74
08/19/2024,60
08/20/2024,23
08/21/2024,53
08/22/2024,18
08/23/2024,22
08/24/2024,37
08/25/2024,106
08/26/2024,67
08/27/2024,15
08/28/2024,11
08/29/2024,0
08/30/2024,45
08/31/2024,7
09/01/2024,0
09/02/2024,2
09/03/2024,3
09/04/2024,1
09/05/2024,0
09/06/2024,0
09/07/2024,2
09/08/2024,29
09/09/2024,16
09/10/2024,1
09/11/2024,7
09/12/2024,7
09/13/2024,7
09/14/2024,30
09/15/2024,201
09/16/2024,82
09/17/2024,71
09/18/2024,15
09/19/2024,0
09/20/2024,0
09/21/2024,0
09/22/2024,3
09/23/2024,0
09/24/2024,0
09/25/2024,0
09/26/2024,0
09/27/2024,0
09/28/2024,68
09/29/2024,48
09/30/2024,2
10/01/2024,0
10/02/2024,0
10/03/2024,0
10/04/2024,2
10/05/2024,0
10/06/2024,0
10/07/2024,1
10/08/2024,1
10/09/2024,0
10/10/2024,0
10/11/2024,66
10/12/2024,23
10/13/2024,0
10/14/2024,0
10/15/2024,0
10/16/2024,0
10/17/2024,35
10/18/2024,2
10/19/2024,3
10/20/2024,0
10/21/2024,0
10/22/2024,0
10/23/2024,0
10/24/2024,1
10/25/2024,0
10/26/2024,2
10/27/2024,0
10/28/2024,1
10/29/2024,0
10/30/2024,2
10/31/2024,6
11/01/2024,1
11/02/2024,0
11/03/2024,0
11/04/2024,0
11/05/2024,0
11/06/2024,1
11/07/2024,0
11/08/2024,1
11/09/2024,10
11/10/2024,0
11/11/2024,5
11/12/2024,32
11/13/2024,14
11/14/2024,20
11/15/2024,61
11/16/2024,33
11/17/2024,29
11/18/2024,51
11/19/2024,6
11/20/2024,8
11/21/2024,1
11/22/2024,0
11/23/2024,1
11/24/2024,3
11/25/2024,0
11/26/2024,3
11/27/2024,10
11/28/2024,8
11/29/2024,1
11/30/2024,4
12/01/2024,2
12/02/2024,42
12/03/2024,1
12/04/2024,0
12/05/2024,18
12/06/2024,32
12/07/2024,0
12/08/2024,0
12/09/2024,0
12/10/2024,0
12/11/2024,2
12/12/2024,0
12/13/2024,1
12/14/2024,0
12/15/2024,2
12/16/2024,0
12/17/2024,13
12/18/2024,64
12/19/2024,36
12/20/2024,116
12/21/2024,27
12/22/2024,54
12/23/2024,106
12/24/2024,51
12/25/2024,53
12/26/2024,22
12/27/2024,31
12/28/2024,21
12/29/2024,2
12/30/2024,27
12/31/2024,30
01/01/2025,11
01/02/2025,26
01/03/2025,13
01/04/2025,2
01/05/2025,1
01/06/2025,18
01/07/2025,41
01/08/2025,37
01/09/2025,11
01/10/2025,46
01/11/2025,3
01/12/2025,0
01/13/2025,17
01/14/2025,77
01/15/2025,64
01/16/2025,15
01/17/2025,6
01/18/2025,0
01/19/2025,4
01/20/2025,23
01/21/2025,17
01/22/2025,16
01/23/2025,28
01/24/2025,34
01/25/2025,28
01/26/2025,1
01/27/2025,11
01/28/2025,17
01/29/2025,21
01/30/2025,27
01/31/2025,11
02/01/2025,0
02/02/2025,0
02/03/2025,21
02/04/2025,63
02/05/2025,36
02/06/2025,17
02/07/2025,56
02/08/2025,5
02/09/2025,1
02/10/2025,29
02/11/2025,32
02/12/2025,43
02/13/2025,41
02/14/2025,49
02/15/2025,3
02/16/2025,0
02/17/2025,57
02/18/2025,39
02/19/2025,20
02/20/2025,32
02/21/2025,26
02/22/2025,4
02/23/2025,0
02/24/2025,53
02/25/2025,14
02/26/2025,31
02/27/2025,19
02/28/2025,41
03/01/2025,5
03/02/2025,2
03/03/2025,8
