Date,link clicks
02/04/2022,0
02/05/2022,0
02/06/2022,0
02/07/2022,0
02/08/2022,0
02/09/2022,0
02/10/2022,0
02/11/2022,0
02/12/2022,0
02/13/2022,0
02/14/2022,0
02/15/2022,0
02/16/2022,0
02/17/2022,0
02/18/2022,0
02/19/2022,0
02/20/2022,0
02/21/2022,0
02/22/2022,0
02/23/2022,0
02/24/2022,0
02/25/2022,0
02/26/2022,0
02/27/2022,0
02/28/2022,0
03/01/2022,0
03/02/2022,0
03/03/2022,0
03/04/2022,0
03/05/2022,0
03/06/2022,0
03/07/2022,0
03/08/2022,0
03/09/2022,0
03/10/2022,0
03/11/2022,0
03/12/2022,0
03/13/2022,0
03/14/2022,0
03/15/2022,0
03/16/2022,0
03/17/2022,0
03/18/2022,0
03/19/2022,0
03/20/2022,0
03/21/2022,0
03/22/2022,0
03/23/2022,0
03/24/2022,0
03/25/2022,0
03/26/2022,0
03/27/2022,0
03/28/2022,0
03/29/2022,0
03/30/2022,0
03/31/2022,0
04/01/2022,0
04/02/2022,0
04/03/2022,0
04/04/2022,0
04/05/2022,0
04/06/2022,0
04/07/2022,0
04/08/2022,0
04/09/2022,0
04/10/2022,0
04/11/2022,0
04/12/2022,0
04/13/2022,0
04/14/2022,0
04/15/2022,0
04/16/2022,0
04/17/2022,0
04/18/2022,0
04/19/2022,0
04/20/2022,0
04/21/2022,0
04/22/2022,0
04/23/2022,0
04/24/2022,0
04/25/2022,0
04/26/2022,0
04/27/2022,0
04/28/2022,0
04/29/2022,0
04/30/2022,0
05/01/2022,0
05/02/2022,0
05/03/2022,0
05/04/2022,0
05/05/2022,0
05/06/2022,0
05/07/2022,0
05/08/2022,0
05/09/2022,0
05/10/2022,0
05/11/2022,0
05/12/2022,0
05/13/2022,0
05/14/2022,0
05/15/2022,0
05/16/2022,0
05/17/2022,0
05/18/2022,0
05/19/2022,0
05/20/2022,0
05/21/2022,0
05/22/2022,0
05/23/2022,0
05/24/2022,0
05/25/2022,0
05/26/2022,0
05/27/2022,0
05/28/2022,0
05/29/2022,0
05/30/2022,0
05/31/2022,0
06/01/2022,0
06/02/2022,0
06/03/2022,0
06/04/2022,0
06/05/2022,0
06/06/2022,0
06/07/2022,0
06/08/2022,0
06/09/2022,0
06/10/2022,0
06/11/2022,0
06/12/2022,0
06/13/2022,0
06/14/2022,0
06/15/2022,0
06/16/2022,0
06/17/2022,0
06/18/2022,0
06/19/2022,0
06/20/2022,0
06/21/2022,0
06/22/2022,0
06/23/2022,0
06/24/2022,0
06/25/2022,0
06/26/2022,0
06/27/2022,0
06/28/2022,0
06/29/2022,0
06/30/2022,0
07/01/2022,0
07/02/2022,0
07/03/2022,0
07/04/2022,0
07/05/2022,0
07/06/2022,0
07/07/2022,0
07/08/2022,0
07/09/2022,0
07/10/2022,0
07/11/2022,0
07/12/2022,0
07/13/2022,0
07/14/2022,0
07/15/2022,0
07/16/2022,0
07/17/2022,0
07/18/2022,0
07/19/2022,0
07/20/2022,0
07/21/2022,0
07/22/2022,0
07/23/2022,0
07/24/2022,0
07/25/2022,0
07/26/2022,0
07/27/2022,0
07/28/2022,0
07/29/2022,0
07/30/2022,0
07/31/2022,0
08/01/2022,0
08/02/2022,0
08/03/2022,0
08/04/2022,0
08/05/2022,0
08/06/2022,0
08/07/2022,0
08/08/2022,0
08/09/2022,0
08/10/2022,0
08/11/2022,0
08/12/2022,0
08/13/2022,0
08/14/2022,0
08/15/2022,0
08/16/2022,0
08/17/2022,0
08/18/2022,0
08/19/2022,0
08/20/2022,0
08/21/2022,0
08/22/2022,0
08/23/2022,0
08/24/2022,0
08/25/2022,0
08/26/2022,0
08/27/2022,0
08/28/2022,0
08/29/2022,0
08/30/2022,0
08/31/2022,0
09/01/2022,0
09/02/2022,0
09/03/2022,0
09/04/2022,0
09/05/2022,0
09/06/2022,0
09/07/2022,0
09/08/2022,0
09/09/2022,0
09/10/2022,0
09/11/2022,0
09/12/2022,0
09/13/2022,0
09/14/2022,0
09/15/2022,0
09/16/2022,0
09/17/2022,0
09/18/2022,0
09/19/2022,0
09/20/2022,0
09/21/2022,0
09/22/2022,0
09/23/2022,0
09/24/2022,0
09/25/2022,0
09/26/2022,0
09/27/2022,0
09/28/2022,0
09/29/2022,0
09/30/2022,0
10/01/2022,0
10/02/2022,0
10/03/2022,0
10/04/2022,0
10/05/2022,0
10/06/2022,0
10/07/2022,0
10/08/2022,0
10/09/2022,0
10/10/2022,0
10/11/2022,0
10/12/2022,0
10/13/2022,0
10/14/2022,0
10/15/2022,0
10/16/2022,0
10/17/2022,0
10/18/2022,0
10/19/2022,0
10/20/2022,0
10/21/2022,0
10/22/2022,0
10/23/2022,0
10/24/2022,0
10/25/2022,0
10/26/2022,0
10/27/2022,0
10/28/2022,0
10/29/2022,0
10/30/2022,0
10/31/2022,0
11/01/2022,0
11/02/2022,0
11/03/2022,0
11/04/2022,0
11/05/2022,0
11/06/2022,0
11/07/2022,0
11/08/2022,0
11/09/2022,0
11/10/2022,0
11/11/2022,0
11/12/2022,0
11/13/2022,0
11/14/2022,0
11/15/2022,0
11/16/2022,0
11/17/2022,0
11/18/2022,0
11/19/2022,0
11/20/2022,0
11/21/2022,0
11/22/2022,0
11/23/2022,0
11/24/2022,0
11/25/2022,0
11/26/2022,0
11/27/2022,0
11/28/2022,0
11/29/2022,0
11/30/2022,0
12/01/2022,0
12/02/2022,0
12/03/2022,0
12/04/2022,0
12/05/2022,0
12/06/2022,0
12/07/2022,0
12/08/2022,0
12/09/2022,0
12/10/2022,0
12/11/2022,0
12/12/2022,0
12/13/2022,0
12/14/2022,0
12/15/2022,0
12/16/2022,0
12/17/2022,0
12/18/2022,0
12/19/2022,0
12/20/2022,0
12/21/2022,0
12/22/2022,0
12/23/2022,0
12/24/2022,0
12/25/2022,0
12/26/2022,0
12/27/2022,0
12/28/2022,0
12/29/2022,0
12/30/2022,0
12/31/2022,0
01/01/2023,0
01/02/2023,0
01/03/2023,0
01/04/2023,0
01/05/2023,0
01/06/2023,0
01/07/2023,0
01/08/2023,0
01/09/2023,0
01/10/2023,0
01/11/2023,0
01/12/2023,0
01/13/2023,0
01/14/2023,0
01/15/2023,0
01/16/2023,0
01/17/2023,0
01/18/2023,0
01/19/2023,0
01/20/2023,0
01/21/2023,0
01/22/2023,0
01/23/2023,0
01/24/2023,0
01/25/2023,0
01/26/2023,0
01/27/2023,0
01/28/2023,0
01/29/2023,0
01/30/2023,0
01/31/2023,0
02/01/2023,0
02/02/2023,0
02/03/2023,0
02/04/2023,0
02/05/2023,0
02/06/2023,0
02/07/2023,0
02/08/2023,0
02/09/2023,0
02/10/2023,0
02/11/2023,0
02/12/2023,0
02/13/2023,0
02/14/2023,0
02/15/2023,0
02/16/2023,0
02/17/2023,0
02/18/2023,0
02/19/2023,0
02/20/2023,0
02/21/2023,0
02/22/2023,0
02/23/2023,0
02/24/2023,0
02/25/2023,0
02/26/2023,0
02/27/2023,0
02/28/2023,0
03/01/2023,0
03/02/2023,0
03/03/2023,0
03/04/2023,1
03/05/2023,0
03/06/2023,1
03/07/2023,0
03/08/2023,0
03/09/2023,5
03/10/2023,7
03/11/2023,257
03/12/2023,236
03/13/2023,185
03/14/2023,452
03/15/2023,190
03/16/2023,0
03/17/2023,1
03/18/2023,0
03/19/2023,0
03/20/2023,0
03/21/2023,2
03/22/2023,0
03/23/2023,64
03/24/2023,160
03/25/2023,154
03/26/2023,159
03/27/2023,122
03/28/2023,124
03/29/2023,0
03/30/2023,0
03/31/2023,0
04/01/2023,1
04/02/2023,0
04/03/2023,11
04/04/2023,8
04/05/2023,11
04/06/2023,1
04/07/2023,4
04/08/2023,13
04/09/2023,16
04/10/2023,1
04/11/2023,24
04/12/2023,34
04/13/2023,3
04/14/2023,0
04/15/2023,2
04/16/2023,1
04/17/2023,0
04/18/2023,0
04/19/2023,148
04/20/2023,260
04/21/2023,0
04/22/2023,0
04/23/2023,1
04/24/2023,2
04/25/2023,1
04/26/2023,0
04/27/2023,0
04/28/2023,0
04/29/2023,0
04/30/2023,1
05/01/2023,0
05/02/2023,0
05/03/2023,0
05/04/2023,0
05/05/2023,0
05/06/2023,0
05/07/2023,0
05/08/2023,0
05/09/2023,4
05/10/2023,2
05/11/2023,1
05/12/2023,0
05/13/2023,0
05/14/2023,0
05/15/2023,0
05/16/2023,0
05/17/2023,1
05/18/2023,1
05/19/2023,0
05/20/2023,0
05/21/2023,0
05/22/2023,3
05/23/2023,0
05/24/2023,0
05/25/2023,2
05/26/2023,0
05/27/2023,3
05/28/2023,2
05/29/2023,1
05/30/2023,0
05/31/2023,0
06/01/2023,0
06/02/2023,0
06/03/2023,1
06/04/2023,1
06/05/2023,0
06/06/2023,11
06/07/2023,40
06/08/2023,33
06/09/2023,43
06/10/2023,39
06/11/2023,32
06/12/2023,0
06/13/2023,0
06/14/2023,0
06/15/2023,1
06/16/2023,24
06/17/2023,94
06/18/2023,16
06/19/2023,6
06/20/2023,13
06/21/2023,186
06/22/2023,189
06/23/2023,164
06/24/2023,216
06/25/2023,240
06/26/2023,79
06/27/2023,40
06/28/2023,17
06/29/2023,21
06/30/2023,29
07/01/2023,117
07/02/2023,94
07/03/2023,83
07/04/2023,0
07/05/2023,33
07/06/2023,84
07/07/2023,58
07/08/2023,87
07/09/2023,94
07/10/2023,74
07/11/2023,5
07/12/2023,0
07/13/2023,0
07/14/2023,0
07/15/2023,0
07/16/2023,1
07/17/2023,0
07/18/2023,2
07/19/2023,3
07/20/2023,3
07/21/2023,3
07/22/2023,1
07/23/2023,0
07/24/2023,1
07/25/2023,3
07/26/2023,2
07/27/2023,0
07/28/2023,1
07/29/2023,0
07/30/2023,0
07/31/2023,0
08/01/2023,0
08/02/2023,0
08/03/2023,59
08/04/2023,44
08/05/2023,38
08/06/2023,21
08/07/2023,0
08/08/2023,1
08/09/2023,0
08/10/2023,0
08/11/2023,0
08/12/2023,0
08/13/2023,2
08/14/2023,0
08/15/2023,1
08/16/2023,0
08/17/2023,0
08/18/2023,0
08/19/2023,0
08/20/2023,3
08/21/2023,0
08/22/2023,54
08/23/2023,61
08/24/2023,89
08/25/2023,72
08/26/2023,9
08/27/2023,0
08/28/2023,0
08/29/2023,0
08/30/2023,17
08/31/2023,301
09/01/2023,456
09/02/2023,393
09/03/2023,246
09/04/2023,3
09/05/2023,0
09/06/2023,0
09/07/2023,0
09/08/2023,1
09/09/2023,0
09/10/2023,0
09/11/2023,0
09/12/2023,0
09/13/2023,0
09/14/2023,0
09/15/2023,0
09/16/2023,0
09/17/2023,0
09/18/2023,0
09/19/2023,0
09/20/2023,0
09/21/2023,1
09/22/2023,0
09/23/2023,0
09/24/2023,0
09/25/2023,0
09/26/2023,0
09/27/2023,0
09/28/2023,4
09/29/2023,1
09/30/2023,0
10/01/2023,0
10/02/2023,0
10/03/2023,0
10/04/2023,0
10/05/2023,0
10/06/2023,0
10/07/2023,0
10/08/2023,0
10/09/2023,0
10/10/2023,0
10/11/2023,0
10/12/2023,0
10/13/2023,0
10/14/2023,0
10/15/2023,0
10/16/2023,3
10/17/2023,1
10/18/2023,1
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,0
10/25/2023,0
10/26/2023,0
10/27/2023,0
10/28/2023,0
10/29/2023,0
10/30/2023,0
10/31/2023,0
11/01/2023,0
11/02/2023,0
11/03/2023,0
11/04/2023,0
11/05/2023,0
11/06/2023,0
11/07/2023,1
11/08/2023,45
11/09/2023,104
11/10/2023,91
11/11/2023,73
11/12/2023,38
11/13/2023,0
11/14/2023,0
11/15/2023,0
11/16/2023,0
11/17/2023,0
11/18/2023,0
11/19/2023,0
11/20/2023,0
11/21/2023,0
11/22/2023,0
11/23/2023,30
11/24/2023,29
11/25/2023,40
11/26/2023,34
11/27/2023,6
11/28/2023,0
11/29/2023,0
11/30/2023,0
12/01/2023,0
12/02/2023,0
12/03/2023,0
12/04/2023,0
12/05/2023,0
12/06/2023,0
12/07/2023,0
12/08/2023,0
12/09/2023,0
12/10/2023,0
12/11/2023,3
12/12/2023,46
12/13/2023,45
12/14/2023,55
12/15/2023,50
12/16/2023,1
12/17/2023,0
12/18/2023,0
12/19/2023,0
12/20/2023,0
12/21/2023,1
12/22/2023,32
12/23/2023,36
12/24/2023,0
12/25/2023,0
12/26/2023,195
12/27/2023,180
12/28/2023,340
12/29/2023,566
12/30/2023,1447
12/31/2023,14
01/01/2024,0
01/02/2024,0
01/03/2024,0
01/04/2024,0
01/05/2024,0
01/06/2024,0
01/07/2024,0
01/08/2024,0
01/09/2024,0
01/10/2024,0
01/11/2024,1
01/12/2024,0
01/13/2024,0
01/14/2024,0
01/15/2024,0
01/16/2024,1
01/17/2024,0
01/18/2024,0
01/19/2024,0
01/20/2024,1
01/21/2024,0
01/22/2024,0
01/23/2024,0
01/24/2024,0
01/25/2024,0
01/26/2024,1
01/27/2024,0
01/28/2024,0
01/29/2024,0
01/30/2024,0
01/31/2024,0
02/01/2024,0
02/02/2024,0
02/03/2024,0
02/04/2024,0
02/05/2024,0
02/06/2024,0
02/07/2024,0
02/08/2024,0
02/09/2024,0
02/10/2024,0
02/11/2024,0
02/12/2024,0
02/13/2024,0
02/14/2024,0
02/15/2024,0
02/16/2024,0
02/17/2024,0
02/18/2024,0
02/19/2024,0
02/20/2024,0
02/21/2024,0
02/22/2024,0
02/23/2024,0
02/24/2024,0
02/25/2024,0
02/26/2024,0
02/27/2024,0
02/28/2024,0
02/29/2024,0
03/01/2024,0
03/02/2024,1
03/03/2024,0
03/04/2024,2
03/05/2024,1
03/06/2024,1
03/07/2024,0
03/08/2024,0
03/09/2024,0
03/10/2024,0
03/11/2024,0
03/12/2024,0
03/13/2024,7
03/14/2024,56
03/15/2024,33
03/16/2024,36
03/17/2024,32
03/18/2024,2
03/19/2024,0
03/20/2024,0
03/21/2024,0
03/22/2024,82
03/23/2024,48
03/24/2024,45
03/25/2024,40
03/26/2024,0
03/27/2024,0
03/28/2024,0
03/29/2024,0
03/30/2024,0
03/31/2024,0
04/01/2024,0
04/02/2024,0
04/03/2024,0
04/04/2024,25
04/05/2024,29
04/06/2024,35
04/07/2024,27
04/08/2024,14
04/09/2024,0
04/10/2024,0
04/11/2024,0
04/12/2024,0
04/13/2024,0
04/14/2024,0
04/15/2024,0
04/16/2024,0
04/17/2024,0
04/18/2024,0
04/19/2024,0
04/20/2024,0
04/21/2024,1
04/22/2024,0
04/23/2024,0
04/24/2024,0
04/25/2024,1
04/26/2024,2
04/27/2024,0
04/28/2024,0
04/29/2024,0
04/30/2024,1
05/01/2024,0
05/02/2024,4
05/03/2024,0
05/04/2024,2
05/05/2024,1
05/06/2024,0
05/07/2024,0
05/08/2024,0
05/09/2024,54
05/10/2024,64
05/11/2024,59
05/12/2024,61
05/13/2024,4
05/14/2024,0
05/15/2024,0
05/16/2024,0
05/17/2024,0
05/18/2024,1
05/19/2024,0
05/20/2024,45
05/21/2024,62
05/22/2024,59
05/23/2024,57
05/24/2024,53
05/25/2024,46
05/26/2024,1
05/27/2024,1
05/28/2024,0
05/29/2024,0
05/30/2024,0
05/31/2024,1
06/01/2024,0
06/02/2024,0
06/03/2024,0
06/04/2024,0
06/05/2024,0
06/06/2024,0
06/07/2024,0
06/08/2024,0
06/09/2024,0
06/10/2024,0
06/11/2024,0
06/12/2024,0
06/13/2024,0
06/14/2024,0
06/15/2024,0
06/16/2024,0
06/17/2024,0
06/18/2024,0
06/19/2024,0
06/20/2024,0
06/21/2024,1
06/22/2024,0
06/23/2024,0
06/24/2024,0
06/25/2024,1
06/26/2024,0
06/27/2024,1
06/28/2024,0
06/29/2024,0
06/30/2024,0
07/01/2024,0
07/02/2024,0
07/03/2024,0
07/04/2024,1
07/05/2024,1
07/06/2024,0
07/07/2024,0
07/08/2024,0
07/09/2024,0
07/10/2024,0
07/11/2024,1
07/12/2024,0
07/13/2024,0
07/14/2024,0
07/15/2024,0
07/16/2024,0
07/17/2024,0
07/18/2024,0
07/19/2024,0
07/20/2024,0
07/21/2024,0
07/22/2024,0
07/23/2024,0
07/24/2024,0
07/25/2024,0
07/26/2024,0
07/27/2024,0
07/28/2024,0
07/29/2024,0
07/30/2024,1
07/31/2024,0
08/01/2024,0
08/02/2024,0
08/03/2024,1
08/04/2024,0
08/05/2024,0
08/06/2024,0
08/07/2024,0
08/08/2024,0
08/09/2024,0
08/10/2024,0
08/11/2024,0
08/12/2024,0
08/13/2024,0
08/14/2024,0
08/15/2024,0
08/16/2024,0
08/17/2024,0
08/18/2024,0
08/19/2024,0
08/20/2024,0
08/21/2024,0
08/22/2024,0
08/23/2024,0
08/24/2024,0
08/25/2024,0
08/26/2024,0
08/27/2024,0
08/28/2024,0
08/29/2024,0
08/30/2024,0
08/31/2024,0
09/01/2024,0
09/02/2024,0
09/03/2024,0
09/04/2024,0
09/05/2024,0
09/06/2024,0
09/07/2024,0
09/08/2024,0
09/09/2024,0
09/10/2024,0
09/11/2024,0
09/12/2024,0
09/13/2024,0
09/14/2024,0
09/15/2024,0
09/16/2024,0
09/17/2024,0
09/18/2024,0
09/19/2024,0
09/20/2024,0
09/21/2024,0
09/22/2024,0
09/23/2024,0
09/24/2024,0
09/25/2024,0
09/26/2024,0
09/27/2024,0
09/28/2024,0
09/29/2024,0
09/30/2024,0
10/01/2024,0
10/02/2024,0
10/03/2024,0
10/04/2024,0
10/05/2024,0
10/06/2024,0
10/07/2024,0
10/08/2024,0
10/09/2024,0
10/10/2024,0
10/11/2024,0
10/12/2024,0
10/13/2024,0
10/14/2024,0
10/15/2024,0
10/16/2024,0
10/17/2024,0
10/18/2024,0
10/19/2024,0
10/20/2024,0
10/21/2024,0
10/22/2024,0
10/23/2024,0
10/24/2024,1
10/25/2024,0
10/26/2024,0
10/27/2024,0
10/28/2024,0
10/29/2024,0
10/30/2024,0
10/31/2024,0
11/01/2024,0
11/02/2024,0
11/03/2024,0
11/04/2024,0
11/05/2024,0
11/06/2024,0
11/07/2024,0
11/08/2024,0
11/09/2024,6
11/10/2024,0
11/11/2024,0
11/12/2024,7
11/13/2024,3
11/14/2024,0
11/15/2024,0
11/16/2024,0
11/17/2024,0
11/18/2024,0
11/19/2024,0
11/20/2024,0
11/21/2024,0
11/22/2024,2
11/23/2024,0
11/24/2024,0
11/25/2024,0
11/26/2024,0
11/27/2024,0
11/28/2024,0
11/29/2024,0
11/30/2024,0
12/01/2024,0
12/02/2024,0
12/03/2024,0
12/04/2024,0
12/05/2024,0
12/06/2024,0
12/07/2024,0
12/08/2024,0
12/09/2024,0
12/10/2024,1
12/11/2024,0
12/12/2024,0
12/13/2024,1
12/14/2024,0
12/15/2024,0
12/16/2024,0
12/17/2024,0
12/18/2024,0
12/19/2024,137
12/20/2024,241
12/21/2024,39
12/22/2024,0
12/23/2024,0
12/24/2024,0
12/25/2024,0
12/26/2024,0
12/27/2024,0
12/28/2024,0
12/29/2024,0
12/30/2024,0
12/31/2024,0
01/01/2025,0
01/02/2025,0
01/03/2025,0
01/04/2025,0
01/05/2025,0
01/06/2025,0
01/07/2025,0
01/08/2025,1
01/09/2025,0
01/10/2025,0
01/11/2025,0
01/12/2025,0
01/13/2025,0
01/14/2025,0
01/15/2025,0
01/16/2025,1
01/17/2025,0
01/18/2025,0
01/19/2025,0
01/20/2025,0
01/21/2025,0
01/22/2025,0
01/23/2025,0
01/24/2025,0
01/25/2025,0
01/26/2025,0
01/27/2025,0
01/28/2025,0
01/29/2025,0
01/30/2025,0
01/31/2025,0
02/01/2025,0
02/02/2025,0
02/03/2025,0
02/04/2025,0
02/05/2025,1
02/06/2025,0
02/07/2025,0
02/08/2025,0
02/09/2025,0
02/10/2025,66
02/11/2025,91
02/12/2025,94
02/13/2025,95
02/14/2025,24
02/15/2025,0
02/16/2025,0
02/17/2025,0
02/18/2025,0
02/19/2025,0
02/20/2025,0
02/21/2025,0
02/22/2025,0
02/23/2025,0
02/24/2025,0
02/25/2025,0
02/26/2025,0
02/27/2025,0
02/28/2025,0
03/01/2025,0
03/02/2025,0
03/03/2025,0
